id,year,imdb_id,title,rating
9602,1874,3155794,Passage de Venus,0
9804,1877,14495706,La Rosace Magique,0
9603,1878,2221420,Sallie Gardner at a Gallop,0
9806,1878,12592084,Le singe musicien,0
9816,1881,7816420,Athlete Swinging a Pick,0
9831,1883,5459794,Buffalo Running,0
9832,1885,8588366,L'homme machine,0
9614,1887,2075247,Man Walking Around the Corner,0
9836,1887,8133192,Cockatoo Flying,0
9837,1887,7411790,Child Carrying Flowers to Woman,0
9838,1887,7541160,Jumping Over a Man's Back-Leapfrog,0
9841,1887,7754902,Man Riding Jumping Horse,0
9902,1887,8361552,Baboon Climbing a Pole,0
8040,1888,0392728,Roundhay Garden Scene,0
9615,1888,1758563,Accordion Player,0
9616,1888,0343112,Traffic Crossing Leeds Bridge,0
9675,1888,3274100,Pferd und Reiter Springen uber ein Hindernis,0
9947,1888,2116853,Brighton Street Scene,0
9619,1889,0466876,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0
9945,1889,2116898,Hyde Park Corner,0
9617,1890,0361921,"Monkeyshines, No. 1",0
9618,1890,0416046,"Monkeyshines, No. 2",0
9621,1890,1202028,London's Trafalgar Square,0
9678,1890,0416047,"Monkeyshines, No. 3",0
9946,1890,5285442,Mosquinha,0
9944,1890,2116968,"Traffic in King's Road, Chelsea",0
9626,1891,0241373,Dickson Greeting,0
9628,1891,0241715,Men Boxing,0
9629,1891,0241763,Newark Athlete,0
9792,1891,0241393,"Duncan and Another, Blacksmith Shop",0
9793,1891,0241392,Duncan Smoking,0
9794,1891,0241394,Duncan or Devonald with Muslin Cloud,0
9795,1891,0241735,"Monkey and Another, Boxing",0
9800,1891,3201916,Je vous aime,0
9802,1891,3508566,La vague,0
9943,1891,5447082,Two Fencers,0
5433,1892,0000003,Pauvre Pierrot,0
9631,1892,0000004,Un bon bock,0
9632,1892,0000002,Le clown et ses chiens,0
9951,1892,0241446,Fencing,0
9952,1892,0234520,Le prince de Galles,0
9948,1892,0242148,Wrestling,0
9986,1892,0241266,Boxing,0
9583,1893,0000005,Blacksmith Scene,0
9636,1894,0229217,Annabelle Butterfly Dance,0
9642,1894,8419312,Edison Kinetoscope Records: Annie Oakley,0
9646,1894,0000015,Autour d'une cabine,0
9648,1894,0229235,The Barbershop,0
9649,1894,0309396,Bucking Broncho,0
9650,1894,0309402,Buffalo Dance,0
9651,1894,0000001,Carmencita,0
9652,1894,0000008,Edison Kinetoscopic Record of a Sneeze,0
9654,1894,0177707,Dickson Experimental Sound Film,0
9655,1894,0000006,Chinese Opium Den,0
9656,1894,0000007,Corbett and Courtney Before the Kinetograph,0
9662,1894,2049440,Falling Cat,0
9663,1894,0312728,"Glenroy Bros., No. 2",0
9664,1894,0256782,Glenroy Brothers,0
9668,1894,0203646,Leonard-Cushing Fight,0
9671,1894,0277115,"Luis Martinetti, Contortionist",0
9673,1894,2161519,Sandow No. 2,0
9674,1894,2161521,Sandow No. 3,0
9681,1894,0413219,Reve au coin du feu,0
9779,1894,0000009,Miss Jerry,0
5444,1895,0000014,Tables Turned on the Gardener,0
6200,1895,0132134,"The Execution of Mary, Queen of Scots",0
9679,1895,0000011,Akrobatisches Potpourri,1
9683,1895,0154152,Annabelle Serpentine Dance,0
9714,1895,0000017,Italienischer Bauerntanz,0
9715,1895,0000029,Baby's Dinner,1
9766,1895,0477266,Billy Edwards and the Unknown,0
9767,1895,0000022,Blacksmith Scene,0
9787,1895,0000016,Barque sortant du port,0
4982,1896,0000091,The House of the Devil,0
5406,1896,0000131,Une nuit terrible,0
5445,1896,0223341,La fee aux choux,0
6199,1896,0000012,The Arrival of a Train,0
9672,1896,1428455,Sandow,0
9949,1896,1672718,Alger: rue Bab-Azoun,0
9950,1896,1736599,Lassage des boeufs pour le labour,0
9901,1896,0222137,Lancement d'un navire,0
9328,1897,0000041,Bataille de neige,0
4978,1898,0135696,Four Heads Are Better Than One,0
5410,1898,0000211,"The Astronomer&#39;s Dream; or Man in the Moon, The",0
5411,1898,0224240,The Temptation of St. Anthony,0
4994,1899,0000246,A Turn of the Century Illusionist,0
5914,1899,0000230,Cinderella,3
1594,1900,0291476,Sherlock Holmes Baffled,0
4271,1900,0000300,The Enchanted Drawing,0
4343,1900,0000304,Grandma's Reading Glass,0
4344,1900,0000272,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0
4345,1900,0257654,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0
4346,1900,0000306,Hamlet ( Le Duel d'Hamlet),0
4993,1900,0135453,The One-Man Band,0
5069,1900,0377995,Grandma Threading Her Needle,0
5072,1900,0230746,"Searching Ruins on Broadway, Galveston, for Dead Bodies",0
5438,1900,0000313,Let Me Dream Again,0
5446,1900,0227438,The Doctor and the Monkey,0
4995,1901,0000359,L'homme a la tete en caoutchouc,0
5437,1901,0258104,Reve et realite,0
5500,1901,0131934,Bluebeard,0
1252,1902,0000417,Le voyage dans la lune,0
5431,1902,0229024,Gulliver's Travels,0
5432,1902,0367177,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship",0
5443,1902,0000413,Mephistopheles' School of Magic,0
1319,1903,0000439,The Great Train Robbery,0
5002,1903,0135180,The Infernal Boiling Pot,0
5063,1903,0000455,The Music Lover,0
5064,1903,0223755,The Monster,0
5683,1903,0189498,The Enchanted Well,0
5224,1904,0215664,The Cook in Trouble,0
5404,1904,0135179,The Living Playing Cards,0
5601,1904,0135631,The Untamable Whiskers,0
6135,1904,0000499,Le voyage a travers l'impossible,0
5003,1905,0135690,The Scheming Gambler&#39;s Paradise,0
5602,1905,0215575,The Black Imp,0
1349,1906,0000574,The Story of the Kelly Gang,1
5024,1906,0216016,The Mysterious Retort,0
